State,Agency Type,Agency Name,Population1,"Total Offenses","Crimes Against Persons","Crimes Against Property","Crimes Against Society","Assault Offenses","Aggravated Assault","Simple Assault",Intimidation,"Homicide Offenses","Murder and Nonnegligent Manslaughter","Negligent Man- 1slaughter","Justifiable Homicide","Human Trafficking Offenses","Commercial Sex Acts","Involuntary Servitude","Kidnapping/ Abduction","Sex Offenses",Rape,Sodomy,"Sexual Assault With an Object",Fondling,Incest,"Statutory Rape",Arson,Bribery,"Burglary/ Breaking & Entering","Counter- feiting/ Forgery","Destruction/ Damage/ Vandalism of Property","Embezzle- ment","Extortion/ Blackmail","Fraud Offenses","False Pretenses/ Swindle/ Confidence Game","Credit Card/ Automated Teller Machine Fraud","Imper- sonation","Welfare Fraud","Wire Fraud","Identity  Theft","Hacking/ Computer  Invasion","Larceny/ Theft Offenses","Pocket- picking","Purse- snatching","Shop- lifting","Theft From Building","Theft From Coin Op- erated Machine or Device","Theft from Motor Vehicle","Theft of  Motor  Vehicle Parts or Acces- sories","All Other Larceny","Motor Vehicle Theft",Robbery,"Stolen Property Offenses","Animal  Cruelty","Drug/ Narcotic Offenses","Drug/ Narcotic Violations","Drug Equipment Violations","Gambling Offenses","Betting/ Wagering","Operating/ Promoting/ Assisting Gambling","Gambling Equipment Violations","Sports Tampering","Por- nography/ Obscene Material","Pros- titution Offenses","Pros- titution","Assisting or Promoting Prostitution","Purchasing Prostitution","Weapon Law Violations"
OHIO,Cities,Westerville,"40,225","1,939",297,"1,042",600,256,19,173,64,3,3,0,0,0,0,0,3,35,17,2,0,16,0,0,3,0,47,30,181,0,0,65,18,13,2,0,1,31,0,650,2,0,278,49,1,88,13,219,21,5,40,0,580,320,260,0,0,0,0,0,4,0,0,0,0,16
OHIO,Cities,West Jefferson,"4,375",181,58,72,51,54,2,15,37,0,0,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,2,1,18,0,0,1,0,0,0,0,0,1,0,48,0,0,5,19,0,13,0,11,0,0,2,0,49,21,28,0,0,0,0,0,1,0,0,0,0,1
OHIO,Cities,West Union,"3,141",49,17,21,11,15,3,8,4,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,1,2,0,2,0,11,8,3,0,0,0,0,0,0,0,0,0,0,0
OHIO,Cities,Whitehall,"19,024","3,216",626,"1,626",964,578,51,354,173,2,2,0,0,0,0,0,17,29,13,1,0,14,0,1,11,0,182,74,216,0,3,92,50,4,16,1,0,21,0,816,5,10,301,106,1,94,34,265,85,52,95,2,862,679,183,0,0,0,0,0,4,2,0,2,0,94
OHIO,Cities,Whitehouse,"4,823",90,40,35,15,33,1,25,7,0,0,0,0,0,0,0,2,5,2,1,0,2,0,0,0,0,2,1,3,0,0,8,0,0,0,0,0,8,0,19,1,0,2,2,0,2,0,12,2,0,0,0,11,7,4,0,0,0,0,0,4,0,0,0,0,0
OHIO,Cities,Wickliffe,"12,734",938,60,203,675,59,6,17,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,16,4,19,0,0,12,4,5,0,0,0,3,0,133,2,2,34,18,0,13,0,64,7,3,7,0,641,412,229,0,0,0,0,0,0,3,0,3,0,31
OHIO,Cities,Willard,"6,022",446,94,310,42,87,5,57,25,0,0,0,0,0,0,0,0,7,3,0,0,4,0,0,0,0,24,1,65,0,0,0,0,0,0,0,0,0,0,212,0,0,25,48,0,71,1,67,7,0,1,0,36,18,18,0,0,0,0,0,1,0,0,0,0,5
OHIO,Cities,Williamsburg,"2,564",167,27,76,64,22,2,12,8,0,0,0,0,0,0,0,2,3,2,0,0,1,0,0,0,0,1,0,17,0,0,2,1,1,0,0,0,0,0,45,0,0,2,14,3,12,0,14,6,3,2,0,63,20,43,0,0,0,0,0,0,0,0,0,0,1
OHIO,Cities,Willoughby,"22,949","1,055",295,574,186,286,18,142,126,1,1,0,0,0,0,0,2,6,4,0,0,1,0,1,2,0,55,18,75,0,0,49,10,29,4,0,6,0,0,332,12,2,79,95,0,47,2,95,21,7,15,0,168,92,76,0,0,0,0,0,0,3,1,2,0,15
OHIO,Cities,Wilmington,"12,386","1,322",175,851,296,160,10,93,57,0,0,0,0,0,0,0,8,7,5,0,0,2,0,0,2,0,86,3,111,0,1,12,1,10,0,0,1,0,0,604,0,0,60,0,0,14,1,529,15,2,15,0,294,158,136,0,0,0,0,0,0,0,0,0,0,2
OHIO,Cities,Windham,"2,199",52,18,27,7,17,1,3,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,8,0,0,0,0,0,0,0,0,0,0,14,0,0,4,2,0,5,0,3,1,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,1
OHIO,Cities,Wintersville,"3,700",111,24,56,31,24,1,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,6,0,0,1,1,0,0,0,0,0,0,36,1,1,10,8,0,4,3,9,1,0,1,0,31,15,16,0,0,0,0,0,0,0,0,0,0,0
OHIO,Cities,Woodlawn,"3,298",179,45,115,19,45,7,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,0,0,1,1,0,0,0,0,0,0,77,0,0,0,0,0,0,0,77,6,0,2,0,13,8,5,0,0,0,0,0,1,0,0,0,0,5
OHIO,Cities,Wooster,"26,688","2,296",466,"1,113",717,409,40,200,169,1,1,0,0,0,0,0,4,52,27,8,0,14,0,3,7,0,153,25,127,0,0,114,54,30,0,1,0,28,1,626,6,6,195,87,0,69,2,261,27,11,23,3,692,404,288,0,0,0,0,0,3,1,0,1,0,18
OHIO,Cities,Wyoming,"8,554",194,19,111,64,16,2,8,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,2,8,0,0,19,4,2,0,0,0,13,0,66,0,0,0,0,0,40,0,26,3,2,3,0,61,44,17,0,0,0,0,0,0,0,0,0,0,3
OHIO,Cities,Xenia,"26,691","2,176",518,"1,157",501,475,42,205,228,4,4,0,0,0,0,0,2,37,15,2,0,17,1,2,7,0,126,30,222,0,1,68,21,12,0,0,1,34,0,639,1,0,136,43,0,101,13,345,29,9,26,0,463,293,170,0,0,0,0,0,11,0,0,0,0,27
OHIO,Cities,Yellow Springs,"3,768",206,56,130,20,53,3,27,23,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,16,2,33,0,0,13,2,5,0,0,0,6,0,62,0,0,4,1,0,17,1,39,1,1,2,0,17,11,6,0,0,0,0,0,2,0,0,0,0,1
OHIO,Cities,Youngstown,"64,282","5,596","1,657","3,347",592,"1,580",230,853,497,23,23,0,0,0,0,0,15,39,25,3,0,11,0,0,129,1,828,5,592,0,1,141,16,19,1,1,10,94,0,"1,268",5,4,165,48,1,275,35,735,203,150,29,0,475,321,154,0,0,0,0,0,0,1,0,1,0,116
OHIO,Cities,Zanesville,"25,371","2,268",592,"1,413",263,526,73,325,128,1,1,0,0,0,0,0,22,43,29,2,0,12,0,0,8,0,135,31,340,0,0,23,9,9,1,1,0,3,0,779,2,10,185,114,1,127,16,324,57,16,24,0,234,98,136,0,0,0,0,0,2,0,0,0,0,27
OHIO,Universities and Colleges,Bowling Green State University,"20,395",295,16,148,131,12,0,8,4,0,0,0,0,0,0,0,0,4,3,0,0,1,0,0,0,0,4,2,46,0,0,5,2,2,0,0,0,1,0,88,20,1,0,10,0,5,1,51,0,0,3,0,129,74,55,0,0,0,0,0,0,0,0,0,0,2
OHIO,Universities and Colleges,Capital University,"3,974",63,3,52,8,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,10,0,0,5,0,2,0,0,0,3,0,24,0,0,0,14,0,4,1,5,0,0,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0
